# nThread 1 nGpus 1 minBytes 262144 maxBytes 536870912 step: 2(factor) warmup iters: 5 iters: 30 validation: 0 
#
# Using devices
#   Rank  0 Pid   6305 on ip-172-31-46-58 device  0 [0x00] Tesla V100-SXM2-32GB
#   Rank  1 Pid   6206 on ip-172-31-37-122 device  0 [0x00] Tesla V100-SXM2-32GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
      262144         65536   float     sum    117.7    2.23    2.23    N/A    131.1    2.00    2.00    N/A
      524288        131072   float     sum    148.0    3.54    3.54    N/A    131.3    3.99    3.99    N/A
     1048576        262144   float     sum    193.1    5.43    5.43    N/A    196.6    5.33    5.33    N/A
     2097152        524288   float     sum    355.3    5.90    5.90    N/A    356.4    5.88    5.88    N/A
     4194304       1048576   float     sum    680.0    6.17    6.17    N/A    679.0    6.18    6.18    N/A
     8388608       2097152   float     sum   1327.8    6.32    6.32    N/A   1337.4    6.27    6.27    N/A
    16777216       4194304   float     sum   2639.1    6.36    6.36    N/A   2652.8    6.32    6.32    N/A
    33554432       8388608   float     sum   5257.5    6.38    6.38    N/A   5263.3    6.38    6.38    N/A
    67108864      16777216   float     sum    10528    6.37    6.37    N/A    10495    6.39    6.39    N/A
   134217728      33554432   float     sum    21022    6.38    6.38    N/A    21024    6.38    6.38    N/A
   268435456      67108864   float     sum    42063    6.38    6.38    N/A    42072    6.38    6.38    N/A
   536870912     134217728   float     sum    84126    6.38    6.38    N/A    84043    6.39    6.39    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 5.65653 
#
