# nThread 1 nGpus 1 minBytes 8192 maxBytes 536870912 step: 2(factor) warmup iters: 5 iters: 30 validation: 0 
#
# Using devices
#   Rank  0 Pid   5146 on ip-172-31-46-58 device  0 [0x00] Tesla V100-SXM2-32GB
#   Rank  1 Pid   4766 on ip-172-31-37-122 device  0 [0x00] Tesla V100-SXM2-32GB
#   Rank  2 Pid   4511 on ip-172-31-46-131 device  0 [0x00] Tesla V100-SXM2-32GB
#   Rank  3 Pid   4542 on ip-172-31-41-29 device  0 [0x00] Tesla V100-SXM2-32GB
#
#                                                     out-of-place                       in-place          
#       size         count    type   redop     time   algbw   busbw  error     time   algbw   busbw  error
#        (B)    (elements)                     (us)  (GB/s)  (GB/s)            (us)  (GB/s)  (GB/s)       
        8192          2048   float     sum    298.7    0.03    0.04    N/A    280.3    0.03    0.04    N/A
       16384          4096   float     sum    324.3    0.05    0.08    N/A    305.3    0.05    0.08    N/A
       32768          8192   float     sum    362.8    0.09    0.14    N/A    376.3    0.09    0.13    N/A
       65536         16384   float     sum    426.7    0.15    0.23    N/A    429.7    0.15    0.23    N/A
      131072         32768   float     sum    623.7    0.21    0.32    N/A    625.0    0.21    0.31    N/A
      262144         65536   float     sum   1185.6    0.22    0.33    N/A   1193.7    0.22    0.33    N/A
      524288        131072   float     sum    958.7    0.55    0.82    N/A    983.6    0.53    0.80    N/A
     1048576        262144   float     sum   1198.6    0.87    1.31    N/A   1210.4    0.87    1.30    N/A
     2097152        524288   float     sum   1663.9    1.26    1.89    N/A   1705.2    1.23    1.84    N/A
     4194304       1048576   float     sum   2497.8    1.68    2.52    N/A   2514.0    1.67    2.50    N/A
     8388608       2097152   float     sum   4158.9    2.02    3.03    N/A   4136.1    2.03    3.04    N/A
    16777216       4194304   float     sum   5066.1    3.31    4.97    N/A   5063.4    3.31    4.97    N/A
    33554432       8388608   float     sum    10003    3.35    5.03    N/A   9952.0    3.37    5.06    N/A
    67108864      16777216   float     sum    19864    3.38    5.07    N/A    19593    3.43    5.14    N/A
   134217728      33554432   float     sum    38698    3.47    5.20    N/A    38691    3.47    5.20    N/A
   268435456      67108864   float     sum    78396    3.42    5.14    N/A    81037    3.31    4.97    N/A
   536870912     134217728   float     sum   160234    3.35    5.03    N/A   159932    3.36    5.04    N/A
# Out of bounds values : 0 OK
# Avg bus bandwidth    : 2.41523 
#
